x_acc,y_acc,z_acc,label
0.038,-1.08,-0.053,steel
0.07,-1.068,0.05,steel
0.059,-1.086,0.04,steel
0.018,-1.095,-0.02,steel
-0.071,-0.978,-0.01,steel
-0.06,-0.851,-0.066,steel
-0.035,-0.935,-0.083,steel
0.039,-1.077,-0.041,steel
0.073,-1.071,0.048,steel
0.054,-1.104,0.04,steel
0.003,-1.078,-0.008,steel
-0.081,-0.94,-0.015,steel
-0.081,-0.852,-0.071,steel
-0.032,-0.945,-0.1,steel
0.027,-1.049,-0.029,steel
0.051,-1.078,0.047,steel
0.071,-1.074,0.042,steel
0.045,-1.106,-0.002,steel
-0.019,-1.022,-0.044,steel
-0.027,-1.019,0.012,steel
-0.022,-0.894,-0.065,steel
0.009,-0.998,-0.03,steel
0.032,-1.127,-0.018,steel
0.06,-1.007,0.023,steel
0.013,-1.002,0.007,steel
-0.012,-1.069,-0.077,steel
-0.043,-0.948,-0.022,steel
-0.046,-0.9,-0.021,steel
0.03,-1.034,-0.063,steel
0.01,-1.089,0.018,steel
0.045,-1.016,0.014,steel
-0.007,-1.016,-0.027,steel
-0.038,-1.054,-0.06,steel
-0.045,-0.915,-0.022,steel
-0.048,-0.916,-0.013,steel
0.032,-1.064,-0.065,steel
0.019,-1.069,0.022,steel
0.029,-1.003,0.006,steel
0.01,-1.039,-0.058,steel
-0.047,-1.029,-0.041,steel
-0.026,-0.909,-0.023,steel
-0.031,-0.958,-0.026,steel
0.036,-1.095,-0.05,steel
0.039,-1.038,0.017,steel
0.021,-1.03,0.011,steel
0.014,-1.064,-0.074,steel
-0.034,-0.974,-0.008,steel
-0.027,-0.901,-0.015,steel
-0.034,-0.941,-0.012,steel
0.031,-1.104,-0.068,steel
0.024,-1.04,0.012,steel
0.018,-0.989,0.017,steel
0.009,-1.056,-0.059,steel
-0.054,-1.025,-0.031,steel
-0.038,-0.883,-0.021,steel
-0.026,-0.957,-0.029,steel
0.022,-1.109,-0.046,steel
0.016,-1.046,-0.053,steel
-0.046,-1.034,-0.035,steel
-0.024,-0.91,-0.022,steel
-0.041,-0.953,-0.026,steel
0.029,-1.074,-0.05,steel
0.029,-1.078,0.022,steel
0.044,-1.004,0.022,steel
0.023,-1.058,-0.042,steel
-0.033,-1.057,-0.042,steel
-0.031,-0.892,-0.025,steel
-0.038,-0.933,-0.011,steel
0.024,-1.097,-0.057,steel
0.026,-1.037,0.004,steel
0.015,-0.996,0.027,steel
0.014,-1.063,-0.064,steel
-0.051,-1.022,-0.031,steel
-0.036,-0.885,-0.025,steel
-0.021,-0.959,-0.03,steel
0.018,-1.105,-0.032,steel
0.045,-1.023,0.009,steel
0.006,-1.001,0.023,steel
0.013,-1.08,-0.073,steel
-0.043,-0.987,-0.024,steel
-0.03,-0.894,-0.017,steel
0.012,-1.002,-0.054,steel
0.02,-1.108,-0.002,steel
0.053,-1.009,0.014,steel
0.008,-1.015,0.005,steel
0.017,-1.073,-0.061,steel
-0.056,-0.987,-0.02,steel
-0.031,-0.901,-0.016,steel
-0.012,-0.99,-0.055,steel
0.017,-1.089,-0.016,steel
0.042,-1.01,0.013,steel
0.001,-1.035,-0.005,steel
-0.004,-1.068,-0.071,steel
-0.05,-0.943,-0.017,steel
-0.035,-0.907,-0.01,steel
0.01,-1.031,-0.066,steel
0.019,-1.075,0.003,steel
0.049,-1.008,0.016,steel
0.016,-1.049,-0.025,steel
-0.017,-1.071,-0.055,steel
-0.032,-0.911,-0.021,steel
-0.033,-0.928,-0.005,steel
0.031,-1.078,-0.073,steel
0.028,-1.062,0.003,steel
0.034,-0.998,0.024,steel
0.017,-1.057,-0.045,steel
-0.045,-1.047,-0.043,steel
-0.036,-0.886,-0.034,steel
-0.044,-0.94,-0.018,steel
0.016,-1.026,-0.058,steel
0.009,-1.082,0.013,steel
0.029,-0.999,0.019,steel
0.005,-1.026,-0.031,steel
-0.039,-1.058,-0.05,steel
-0.03,-0.918,-0.031,steel
-0.042,-0.925,-0.015,steel
0.034,-1.068,-0.06,steel
0.026,-1.061,0.021,steel
0.023,-1.013,0.02,steel
0.017,-1.051,-0.055,steel
-0.05,-1.01,-0.019,steel
-0.032,-0.908,-0.019,steel
-0.004,-1.041,-0.083,steel
0.023,-1.02,-0.017,steel
0.009,-0.991,0.038,steel
0.032,-1.093,-0.052,steel
-0.005,-1.02,-0.018,steel
-0.061,-0.951,0.008,steel
0.005,-1.008,-0.086,steel
-0.008,-0.998,-0.011,steel
-0.01,-1.014,0.018,steel
0.027,-1.031,-0.04,steel
-0.01,-1.018,-0.023,steel
-0.009,-0.997,-0.025,steel
-0.022,-0.986,-0.047,steel
-0.011,-1.006,-0.031,steel
0.007,-1.012,-0.027,steel
0.012,-1.019,-0.017,steel
0.006,-1.012,-0.024,steel
0.003,-1.013,-0.032,silence
-0.0,-1.007,-0.037,silence
0.004,-1.014,-0.034,silence
0.008,-1.017,-0.029,silence
0.006,-1.012,-0.026,silence
0.002,-1.01,-0.022,silence
-0.002,-1.01,-0.024,silence
-0.006,-1.006,-0.017,silence
-0.006,-1.008,-0.019,silence
-0.011,-1.008,-0.013,silence
-0.009,-1.013,-0.014,silence
-0.009,-1.008,-0.023,silence
-0.007,-1.013,-0.02,silence
-0.019,-1.011,-0.052,silence
0.006,-1.009,-0.012,silence
-0.001,-1.017,-0.022,silence
-0.013,-1.013,-0.02,silence
0.022,-1.013,-0.066,silence
-0.026,-1.009,-0.017,silence
0.002,-1.016,-0.018,silence
0.011,-1.021,-0.023,silence
0.01,-1.011,-0.088,silence
-0.004,-1.005,-0.017,silence
-0.01,-1.014,-0.003,silence
0.015,-1.013,-0.022,silence
-0.005,-1.011,-0.034,silence
0.006,-1.012,-0.021,silence
