lat,lon,year,month,day,hour,minute,second,atrack,xtrack,surf_alt,solar_zenith_angle,solar_azimuth_angle,surf_air_temp_masked,surf_temp_masked,surf_spec_hum_masked,h2o_vap_tot_masked,cloud_liquid_water_masked,atmosphere_mass_content_of_cloud_ice_masked
33.8,4.7,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.042356362650434104,-0.7917991753341066,-0.4017540715128609,-0.6148291838474955,0.09987279976055818,-0.6749872557566631,-0.5779935808006286,0.08318878891817752
33.8,6.3,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.3115507031434417,1.2520619745355517,-0.20683258824340855,0.39619274165347884,-1.0120562147121772,-0.9943863948826047,0.5378704366296796,1.7897076692005922
33.8,8.3,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.9545304919910704,-0.013958249507305849,-1.184465588538982,-0.5369645630533879,-0.22349348599569302,-0.0701371758796866,0.6677086964574666,0.10845789286202409
33.8,8.7,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.608509590245867,0.1531392728456073,-0.49279353411951754,0.08033354146148608,-0.8912235502629174,-0.8405610999794654,-0.5462485855183469,0.4556672014291975
33.8,9.5,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.1890902943251788,-0.12323216177058008,0.6677311438506307,0.9381558621672895,0.6592726639467973,-0.43827518554474865,0.051443012254360466,0.22849682115973677
33.8,11.1,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.9349792989719976,0.12017246223301667,-0.29178985114231537,-0.5965238250848972,0.1831794995419273,-0.618740296072126,-0.04245070332296558,0.06518717883728892
33.8,15.8,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.4391131211914677,0.48140695793650384,-0.7819739231551273,-0.6825013249563087,-0.7003962040606643,-1.0004751558117482,0.4858849424811714,0.6684776540952874
33.8,17.4,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.8742958132974978,0.1472481408674221,0.027174512302607257,-0.780177926468173,0.5276992025964651,-1.6704361526807856,0.30432373795007867,0.2813122291088738
33.8,19.0,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.9184656661308427,-0.07576453365555355,-0.724535459630087,-0.46618449974280424,-1.0616108733405012,-1.1605349028113516,0.3129298378518228,0.5537572529947735
33.8,20.6,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.1376501177140732,0.0694226005804758,-0.059764685775265614,-0.3832522635210618,-0.09061670523300522,-0.6376866660732254,0.37439955273702785,0.3800787269005373
33.8,27.3,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.31710829265184837,0.10931166185910268,0.01180079106242582,0.13721117948998718,-0.6308544019323354,-1.6420241270603402,0.6698933641259723,-0.5772081480337259
33.9,15.8,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.6055377115374533,-0.5060041192617252,-0.9426539002676513,0.1549967041119743,0.5873311477294445,-1.3100777296026505,0.22683650717140452,0.3012691839533414
33.9,17.4,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.5625993502950326,-0.1061843168433242,-0.7491470150398799,-0.9891601922517537,-0.8474107584361064,-1.255357047063908,-0.20921913677631276,0.780106333072353
33.9,18.2,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.10929498645647734,-0.20034466617860439,-0.39562789384707475,-1.3098975577687861,-0.32692925070322354,-0.5276920265448788,0.27329775798457706,-0.4636196687294059
34.0,12.3,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.9227931953050246,-0.0041586011944623955,-0.3762239932512447,-0.6996622487351062,-0.25549622896871915,-1.4938595113546993,0.7160608188159847,-0.43081966734637994
34.0,13.9,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.13725504997001953,1.2865001552145567,-0.19626718419486072,-0.8325597905310507,-0.1601394228589517,-0.8407743254044099,0.0684555973595174,0.24187451149463018
